"";"labor.force.participation.rate";"employment.population.ratio";"labor.force";"employment";"unemployment";"unemployment.rate"
"Alaska-1996";73,3666666666667;67,9166666666667;308593,083333333;285712,083333333;22881;7,425
"Alaska-1997";73,7083333333333;68,6083333333333;312324;290676,25;21647,75;6,93333333333333
"Alaska-1998";73,9083333333333;69,2083333333333;315362,666666667;295355,083333333;20007,5833333333;6,325
"Alaska-1999";73,5583333333333;68,85;318256,5;297862;20394,5;6,40833333333333
"Alaska-2000";73,3333333333333;68,7;319799,583333333;299606,333333333;20193,25;6,31666666666667
"Alaska-2001";72,5666666666667;68;321621,666666667;301400,916666667;20220,75;6,28333333333333
"Alaska-2002";72,3916666666667;67,175;327172,666666667;303681,583333333;23491,0833333333;7,16666666666667
"Alaska-2003";72,225;66,6833333333333;332337,5;306808,833333333;25528,6666666667;7,68333333333333
"Alaska-2004";71,6416666666667;66,325;337400,666666667;312354;25046,6666666667;7,41666666666667
"Alaska-2005";71,65;66,7;344135,166666667;320288,5;23846,6666666667;6,93333333333333
"Alaska-2006";71,1666666666667;66,45;348776;325653,333333333;23122,6666666667;6,63333333333333
"Alaska-2007";70,625;66,2;350201,416666667;328279,25;21922,1666666667;6,25833333333333
"Alaska-2008";70,8416666666667;66,2416666666667;355365,166666667;332328,416666667;23036,75;6,475
"Alaska-2009";70,2416666666667;64,625;359508;330858,166666667;28649,8333333333;7,98333333333333
"Alaska-2010";69,7416666666667;64,0666666666667;361628,583333333;332196,166666667;29432,4166666667;8,13333333333333
"Alaska-2011";68,9416666666667;63,6083333333333;364445,25;336210,5;28234,75;7,73333333333333
"Alaska-2012";68,075;63,1583333333333;364276,416666667;337915;26361,4166666667;7,25
"Alaska-2013";67,5333333333333;62,7916666666667;363638,416666667;338208,75;25429,6666666667;6,99166666666667
"Alaska-2014";67,4166666666667;62,875;364337,416666667;339774,916666667;24562,5;6,74166666666667
"Alaska-2015";66,7583333333333;62,575;362328,833333333;339579,166666667;22749,6666666667;6,275
"Alaska-2016";66,25;61,875;362097,333333333;338218,75;23878,5833333333;6,6
"Arizona-1990";64,2416666666667;60,8833333333333;1784150,66666667;1690996,5;93154,1666666667;5,21666666666667
"Arizona-1991";63,3666666666667;59,6583333333333;1808831,58333333;1702794;106037,583333333;5,85833333333333
"Arizona-1992";63,475;58,6583333333333;1875193,91666667;1733236,33333333;141957,583333333;7,56666666666667
"Arizona-1993";63,2333333333333;59,2;1941535,08333333;1818204,58333333;123330,5;6,36666666666667
"Arizona-1994";65,4666666666667;61,4083333333333;2104551,66666667;1974485,25;130066,416666667;6,19166666666667
"Arizona-1995";66,8333333333333;63,2916666666667;2237301,66666667;2118364,83333333;118936,833333333;5,3
"Arizona-1996";65,9916666666667;62,3833333333333;2286824;2161257,58333333;125566,416666667;5,49166666666667
"Arizona-1997";64,3416666666667;61,3416666666667;2305575,16666667;2198669,33333333;106905,833333333;4,625
"Arizona-1998";64,9333333333333;62,1583333333333;2389885,33333333;2287795,91666667;102089,416666667;4,275
"Arizona-1999";65,9083333333333;62,9416666666667;2482587,66666667;2371643,08333333;110944,583333333;4,45833333333333
"Arizona-2000";65,2333333333333;62,6416666666667;2511190,25;2411189,25;100001;3,98333333333333
"Arizona-2001";65,5833333333333;62,4833333333333;2592750;2470131,16666667;122618,833333333;4,725
"Arizona-2002";66,025;61,9666666666667;2683524,5;2518280,66666667;165243,833333333;6,14166666666667
"Arizona-2003";65,3833333333333;61,5833333333333;2728848,58333333;2570878,08333333;157970,5;5,78333333333333
"Arizona-2004";64,7833333333333;61,5416666666667;2787807,83333333;2649103;138704,833333333;4,96666666666667
"Arizona-2005";64,1;61,1166666666667;2862538,25;2729310,41666667;133227,833333333;4,66666666666667
"Arizona-2006";64,15;61,3916666666667;2970340;2842627,83333333;127712,166666667;4,30833333333333
"Arizona-2007";63,4166666666667;61,05;3019157,58333333;2905974,75;113182,833333333;3,75
"Arizona-2008";63,5833333333333;59,8916666666667;3095778,25;2916001,41666667;179776,833333333;5,79166666666667
"Arizona-2009";63,2166666666667;57,1083333333333;3129990,16666667;2827397,33333333;302592,833333333;9,66666666666667
"Arizona-2010";63,2333333333333;56,725;3096203,16666667;2777583,58333333;318619,583333333;10,3
"Arizona-2011";61,9666666666667;56,0916666666667;3051762,58333333;2763680,33333333;288082,25;9,43333333333333
"Arizona-2012";61,0166666666667;55,925;3054799;2799914,75;254884,25;8,35
"Arizona-2013";60,2666666666667;55,5583333333333;3064990,08333333;2825940,5;239049,583333333;7,81666666666667
"Arizona-2014";60,225;56,1166666666667;3118415,5;2906136;212279,5;6,79166666666667
"Arizona-2015";60,3583333333333;56,6916666666667;3185086,66666667;2991341;193745,666666667;6,075
"Arizona-2016";60,4083333333333;57,125;3253953,66666667;3075608,08333333;178345,583333333;5,48333333333333
"Arkansas-1990";63,4833333333333;59,1166666666667;1130272,16666667;1052744,33333333;77527,8333333333;6,875
"Arkansas-1991";63,0333333333333;58,425;1136568,41666667;1053431;83137,4166666667;7,30833333333333
"Arkansas-1992";63,5083333333333;59,075;1159072;1077989,25;81082,75;7
"Arkansas-1993";63,2166666666667;59,35;1174327,91666667;1102373,08333333;71954,8333333333;6,13333333333333
"Arkansas-1994";63,9833333333333;60,5;1206581,41666667;1140993,16666667;65588,25;5,44166666666667
"Arkansas-1995";63,925;60,8083333333333;1222573,08333333;1163153,83333333;59419,25;4,86666666666667
"Arkansas-1996";63,8166666666667;60,5166666666667;1237381;1173454,08333333;63926,9166666667;5,16666666666667
"Arkansas-1997";63,1583333333333;59,9083333333333;1239730,08333333;1176261,5;63468,5833333333;5,10833333333333
"Arkansas-1998";62,825;59,6666666666667;1245195,25;1182389,66666667;62805,5833333333;5,05
"Arkansas-1999";62,7;59,875;1256935,33333333;1199999,41666667;56935,9166666667;4,53333333333333
"Arkansas-2000";62,2416666666667;59,6166666666667;1260795,41666667;1208040,16666667;52755,25;4,175
"Arkansas-2001";61,825;58,8916666666667;1261124,5;1201103;60021,5;4,75833333333333
"Arkansas-2002";62,2;58,9166666666667;1277111,83333333;1209163,41666667;67948,4166666667;5,33333333333333
"Arkansas-2003";62,0083333333333;58,4166666666667;1282379,66666667;1208365;74014,6666666667;5,75833333333333
"Arkansas-2004";62,3666666666667;58,8916666666667;1302127,25;1229482;72645,25;5,58333333333333
"Arkansas-2005";63,1333333333333;59,8166666666667;1333986,83333333;1263888,08333333;70098,75;5,25833333333333
"Arkansas-2006";62,8416666666667;59,5416666666667;1346482,08333333;1275727,5;70754,5833333333;5,25
"Arkansas-2007";62,3583333333333;58,9916666666667;1350784,41666667;1278038;72746,4166666667;5,39166666666667
"Arkansas-2008";62,1166666666667;58,725;1357944;1283968,25;73975,75;5,44166666666667
"Arkansas-2009";61,4083333333333;56,6666666666667;1353276,91666667;1248756,33333333;104520,583333333;7,725
"Arkansas-2010";60,6416666666667;55,8583333333333;1353829;1247317,5;106511,5;7,85833333333333
"Arkansas-2011";60,225;55,4666666666667;1357541,41666667;1250285,58333333;107255,833333333;7,90833333333333
"Arkansas-2012";59,55;55,25;1350276,66666667;1252173,41666667;98103,25;7,26666666666667
"Arkansas-2013";58,4916666666667;54,3666666666667;1331775,5;1237985,58333333;93789,9166666667;7,04166666666667
"Arkansas-2014";58,0583333333333;54,6416666666667;1327892,91666667;1249645,83333333;78247,0833333333;5,9
"Arkansas-2015";58,2583333333333;55,3833333333333;1339408,25;1273048,66666667;66359,5833333333;4,95
"Arkansas-2016";58,125;55,825;1344030,91666667;1290424,58333333;53606,3333333333;3,98333333333333
"California-1990";66,9833333333333;63,1083333333333;15138580,5833333;14263632,9166667;874947,666666667;5,79166666666667
"California-1991";66,4333333333333;61,2333333333333;15133302,9166667;13950435,0833333;1182867,83333333;7,825
"California-1992";66,3833333333333;60,2;15301725,1666667;13870881,4166667;1430843,75;9,35
"California-1993";65,9416666666667;59,65;15266333,5;13810184,25;1456149,25;9,53333333333333
"California-1994";65,7833333333333;60,1;15262425,6666667;13941805,5;1320620,16666667;8,65
"California-1995";65,625;60,4416666666667;15272646,25;14068636,5;1204009,75;7,89166666666667
"California-1996";65,675;60,825;15400275,9166667;14269759;1130516,91666667;7,35
"California-1997";66,3333333333333;62,0916666666667;15807354;14796836,5;1010517,5;6,40833333333333
"California-1998";66,6416666666667;62,6833333333333;16176232,9166667;15216138,1666667;960094,75;5,93333333333333
"California-1999";66,55;63,05;16446970,5833333;15580068,4166667;866902,166666667;5,26666666666667
"California-2000";67,05;63,75;16838829,4166667;16012264,8333333;826564,583333333;4,925
"California-2001";66,9583333333333;63,3083333333333;17092874,0833333;16157987,9166667;934886,166666667;5,46666666666667
"California-2002";66,6416666666667;62,1333333333333;17247296,0833333;16082531;1164765,08333333;6,75833333333333
"California-2003";65,8916666666667;61,35;17271797,5833333;16080423,25;1191374,33333333;6,89166666666667
"California-2004";65,5416666666667;61,45;17369663,9166667;16289776,0833333;1079887,83333333;6,21666666666667
"California-2005";65,5333333333333;61,9916666666667;17537645,6666667;16594411,1666667;943234,5;5,38333333333333
"California-2006";65,3833333333333;62,175;17661752,1666667;16795757,9166667;865994,25;4,91666666666667
"California-2007";65,6666666666667;62,175;17910777,6666667;16957627,25;953150,416666667;5,30833333333333
"California-2008";65,8583333333333;61,05;18182565,1666667;16853397,5;1329167,66666667;7,3
"California-2009";65,525;57,9666666666667;18310749,4166667;16199206,0833333;2111543,33333333;11,5416666666667
"California-2010";64,375;56,3583333333333;18367201,3333333;16080104,3333333;2287097;12,4583333333333
"California-2011";63,575;56,0083333333333;18405178,75;16218318,9166667;2186859,83333333;11,8916666666667
"California-2012";63,1;56,475;18488947,0833333;16543573,9166667;1945373,16666667;10,525
"California-2013";62,675;57,0083333333333;18568482,9166667;16892033,3333333;1676449,58333333;9,03333333333333
"California-2014";62,3333333333333;57,625;18677101,1666667;17264825,0833333;1412276,08333333;7,56666666666667
"California-2015";62,1583333333333;58,2833333333333;18824855,1666667;17649562,0833333;1175293,08333333;6,225
"California-2016";62,1916666666667;58,7666666666667;19013906,5;17965090,9166667;1048815,58333333;5,51666666666667
"Colorado-1990";71,1666666666667;67,4916666666667;1770765,75;1679826,91666667;90938,8333333333;5,13333333333333
"Colorado-1991";70,95;67,1833333333333;1803670,08333333;1708311,25;95358,8333333333;5,28333333333333
"Colorado-1992";70,5333333333333;66,2166666666667;1847596,16666667;1734762,08333333;112834,083333333;6,09166666666667
"Colorado-1993";71,1;67,2833333333333;1929184,5;1825447,5;103737;5,38333333333333
"Colorado-1994";72,5583333333333;69,5333333333333;2035874,41666667;1951296,08333333;84578,3333333333;4,14166666666667
"Colorado-1995";73,5166666666667;70,5833333333333;2125608,91666667;2040304,08333333;85304,8333333333;4,025
"Colorado-1996";72,6833333333333;69,65;2158234,16666667;2068393,41666667;89840,75;4,16666666666667
"Colorado-1997";72,775;70,3333333333333;2214925,41666667;2140671,33333333;74254,0833333333;3,35833333333333
"Colorado-1998";74,0833333333333;71,4083333333333;2305115,83333333;2221867,25;83248,5833333333;3,61666666666667
"Colorado-1999";73,2333333333333;71,0416666666667;2337767,91666667;2267167,75;70600,1666666667;3,01666666666667
"Colorado-2000";72,2416666666667;70,2666666666667;2358397,25;2293976,5;64420,75;2,74166666666667
"Colorado-2001";71,6083333333333;68,8666666666667;2395789,5;2304235,08333333;91554,4166666667;3,81666666666667
"Colorado-2002";71,925;67,8333333333333;2449542,66666667;2310114,58333333;139428,083333333;5,68333333333333
"Colorado-2003";72,1416666666667;67,7416666666667;2490189,16666667;2338144,25;152044,916666667;6,10833333333333
"Colorado-2004";72,725;68,675;2538501,91666667;2397119,25;141382,666666667;5,56666666666667
"Colorado-2005";72,5;68,8416666666667;2572486,33333333;2442173,58333333;130312,75;5,075
"Colorado-2006";72,9166666666667;69,8083333333333;2640529,91666667;2528010,91666667;112519;4,275
"Colorado-2007";72,8;70,1083333333333;2688486;2589011,66666667;99474,3333333333;3,7
"Colorado-2008";72,6;69,05;2734805,5;2601252,5;133553;4,875
"Colorado-2009";71,1666666666667;65,5666666666667;2731196,75;2516161,25;215035,5;7,875
"Colorado-2010";70,15;63,7666666666667;2715095,25;2467390,41666667;247704,833333333;9,14166666666667
"Colorado-2011";69,55;63,5166666666667;2730173,16666667;2493001,08333333;237172,083333333;8,69166666666667
"Colorado-2012";68,875;63,35;2750169,33333333;2530540,5;219628,833333333;8
"Colorado-2013";68,0583333333333;63,4666666666667;2766607,25;2580125,08333333;186482,166666667;6,75
"Colorado-2014";67,6;64,2333333333333;2800294,5;2660999,58333333;139294,916666667;4,98333333333333
"Colorado-2015";66,7333333333333;64,2666666666667;2825936,91666667;2720563,5;105373,416666667;3,74166666666667
"Colorado-2016";66,9333333333333;64,85;2893958,5;2803216,66666667;90741,8333333333;3,13333333333333
"Connecticut-1990";70,5916666666667;67,1;1816595,08333333;1726684,41666667;89910,6666666667;4,93333333333333
"Connecticut-1991";71,1416666666667;66,4666666666667;1828675,91666667;1708795,33333333;119880,583333333;6,55
"Connecticut-1992";71,075;65,875;1818475,16666667;1685376,66666667;133098,5;7,33333333333333
"Connecticut-1993";70,3583333333333;65,7583333333333;1795078,5;1678564,91666667;116513,583333333;6,48333333333333
"Connecticut-1994";68,975;65,1583333333333;1758184,5;1660606,66666667;97577,8333333333;5,54166666666667
"Connecticut-1995";68,2416666666667;64,6166666666667;1740470,66666667;1648264;92206,6666666667;5,30833333333333
"Connecticut-1996";68,3583333333333;64,8166666666667;1749263,5;1658269,33333333;90994,1666666667;5,2
"Connecticut-1997";68,4;65,1916666666667;1755067,91666667;1673025;82042,9166666667;4,68333333333333
"Connecticut-1998";67,6416666666667;65,4333333333333;1740469,25;1684059,5;56409,75;3,24166666666667
"Connecticut-1999";67,5416666666667;65,8666666666667;1744570;1701701,25;42868,75;2,45833333333333
"Connecticut-2000";67,8416666666667;66,4;1760360,41666667;1723176,08333333;37184,3333333333;2,10833333333333
"Connecticut-2001";66,9833333333333;65,05;1749203,08333333;1698723,41666667;50479,6666666667;2,875
"Connecticut-2002";67,4833333333333;64,5166666666667;1776258,25;1698036,41666667;78221,8333333333;4,4
"Connecticut-2003";67,3583333333333;63,675;1785681,33333333;1688269,83333333;97411,5;5,45
"Connecticut-2004";66,675;63,2833333333333;1776828,5;1686496,08333333;90332,4166666667;5,09166666666667
"Connecticut-2005";67,0416666666667;63,8;1794540,16666667;1708318,91666667;86221,25;4,8
"Connecticut-2006";67,9583333333333;64,95;1830768,83333333;1749854,25;80914,5833333333;4,425
"Connecticut-2007";68,5583333333333;65,5;1856230,41666667;1773432,58333333;82797,8333333333;4,45
"Connecticut-2008";68,8666666666667;64,9833333333333;1878221,25;1772158,75;106062,5;5,65
"Connecticut-2009";68,75;63,0416666666667;1888641,66666667;1731615,91666667;157025,75;8,325
"Connecticut-2010";68,2916666666667;61,775;1911229,41666667;1728400,91666667;182828,5;9,55833333333333
"Connecticut-2011";67,6666666666667;61,55;1914290,25;1741785,58333333;172504,666666667;9,01666666666667
"Connecticut-2012";66,35;60,7916666666667;1888026,5;1730017,83333333;158008,666666667;8,35833333333333
"Connecticut-2013";65,3916666666667;60,2;1868150;1719711,33333333;148438,666666667;7,95
"Connecticut-2014";65,8666666666667;61,5166666666667;1889095,08333333;1764020,58333333;125074,5;6,61666666666667
"Connecticut-2015";65,8666666666667;62,1666666666667;1892066,75;1785889,41666667;106177,333333333;5,61666666666667
"Connecticut-2016";65,8666666666667;62,6583333333333;1893437,16666667;1801259,16666667;92178;4,86666666666667
"Delaware-1990";70,3166666666667;67,225;360118,666666667;344222;15896,6666666667;4,40833333333333
"Delaware-1991";69,475;65,3666666666667;362034,666666667;340609,5;21425,1666666667;5,91666666666667
"Delaware-1992";69,4166666666667;65,775;366972,416666667;347765,583333333;19206,8333333333;5,225
"Delaware-1993";69,9833333333333;66,5333333333333;375912,75;357456,5;18456,25;4,90833333333333
"Delaware-1994";70,4916666666667;67,1666666666667;384162,416666667;366114,333333333;18048,0833333333;4,7
"Delaware-1995";69,4916666666667;66,5333333333333;386014,916666667;369536,583333333;16478,3333333333;4,26666666666667
"Delaware-1996";68,8;65,3916666666667;388838;369568,5;19269,5;4,95
"Delaware-1997";67,9916666666667;65,2583333333333;389843,916666667;374233,25;15610,6666666667;4,00833333333333
"Delaware-1998";68,1083333333333;65,725;396114,75;382214,583333333;13900,1666666667;3,49166666666667
"Delaware-1999";67,875;65,65;400153,75;387036,166666667;13117,5833333333;3,28333333333333
"Delaware-2000";69,1916666666667;66,675;413057,75;398219;14838,75;3,60833333333333
"Delaware-2001";69,6666666666667;67,1916666666667;421378,083333333;406364,583333333;15013,5;3,575
"Delaware-2002";68,0583333333333;65,15;417237,583333333;399441,416666667;17796,1666666667;4,26666666666667
"Delaware-2003";66,825;63,85;415865,916666667;397329,083333333;18536,8333333333;4,46666666666667
"Delaware-2004";66,5333333333333;63,675;421002,666666667;402907,916666667;18094,75;4,3
"Delaware-2005";67,1666666666667;64,1583333333333;433313,083333333;413863,25;19449,8333333333;4,50833333333333
"Delaware-2006";67,4166666666667;64,7916666666667;443251,916666667;425917,166666667;17334,75;3,90833333333333
"Delaware-2007";66,675;64,2583333333333;445368,916666667;429295,25;16073,6666666667;3,60833333333333
"Delaware-2008";66,4;63,0583333333333;450291,333333333;427616,25;22675,0833333333;5,03333333333333
"Delaware-2009";63,9;58,5666666666667;438429,416666667;401840,916666667;36588,5;8,34166666666667
"Delaware-2010";62,2416666666667;56,8666666666667;436261,916666667;398517,083333333;37744,8333333333;8,65833333333333
"Delaware-2011";62,3666666666667;57,65;443784,416666667;410050,083333333;33734,3333333333;7,60833333333333
"Delaware-2012";62,0166666666667;57,6333333333333;446038,75;414521,333333333;31517,4166666667;7,06666666666667
"Delaware-2013";60,9666666666667;56,9583333333333;443691,333333333;414377,833333333;29313,5;6,60833333333333
"Delaware-2014";61,4;57,975;452658,416666667;427332,75;25325,6666666667;5,60833333333333
"Delaware-2015";62,0416666666667;59,0666666666667;462843,583333333;440695,916666667;22147,6666666667;4,79166666666667
"Delaware-2016";62,1583333333333;59,35;468969,25;447725,333333333;21243,9166666667;4,525
"District of Columbia-1990";68,2666666666667;64,2333333333333;331314,083333333;311755,333333333;19558,75;5,89166666666667
"District of Columbia-1991";66,7;61,575;320211,416666667;295577,5;24633,9166666667;7,7
"District of Columbia-1992";66,925;61,1916666666667;317056,166666667;289890,083333333;27166,0833333333;8,58333333333333
"District of Columbia-1993";66,7333333333333;61,1166666666667;314178,666666667;287794;26384,6666666667;8,4
"District of Columbia-1994";66,6666666666667;61,3833333333333;309668,583333333;285076,666666667;24591,9166666667;7,93333333333333
"District of Columbia-1995";65,6583333333333;59,9916666666667;300195,75;274360,083333333;25835,6666666667;8,60833333333333
"District of Columbia-1996";64,1083333333333;58,7166666666667;290602,583333333;266113,5;24489,0833333333;8,425
"District of Columbia-1997";63,775;58,5916666666667;287473,583333333;264085,583333333;23388;8,14166666666667
"District of Columbia-1998";64,7916666666667;59,4083333333333;293398,166666667;269038,25;24359,9166666667;8,31666666666667
"District of Columbia-1999";66,8;62,425;305212,833333333;285174,916666667;20037,9166666667;6,575
"District of Columbia-2000";67,7083333333333;63,8416666666667;310117,5;292429,5;17688;5,69166666666667
"District of Columbia-2001";67,5166666666667;63,1666666666667;311179;291056,666666667;20122,3333333333;6,46666666666667
"District of Columbia-2002";66,8833333333333;62,2333333333333;308799,916666667;287238,5;21561,4166666667;6,98333333333333
"District of Columbia-2003";66,9083333333333;62,075;308615,416666667;286138,833333333;22476,5833333333;7,275
"District of Columbia-2004";67,6666666666667;62,2166666666667;313587,75;288250,333333333;25337,4166666667;8,08333333333333
"District of Columbia-2005";68,1833333333333;63,425;318148,166666667;295924,083333333;22224,0833333333;6,99166666666667
"District of Columbia-2006";68,175;63,8583333333333;320499,916666667;300217,166666667;20282,75;6,325
"District of Columbia-2007";68,975;64,8833333333333;326499,5;307027;19472,5;5,95
"District of Columbia-2008";70,05;65,2583333333333;334715,833333333;311783,25;22932,5833333333;6,85
"District of Columbia-2009";69,55;62,5833333333333;338054,5;304232,833333333;33821,6666666667;10
"District of Columbia-2010";68,975;62,1;346800,916666667;312261,25;34539,6666666667;9,95
"District of Columbia-2011";68,1333333333333;61,1833333333333;352151,333333333;316309,416666667;35841,9166666667;10,1916666666667
"District of Columbia-2012";69,1333333333333;62,9083333333333;365128,666666667;332328,416666667;32800,25;8,975
"District of Columbia-2013";69,4333333333333;63,5666666666667;374218;342636,5;31581,5;8,43333333333333
"District of Columbia-2014";69,3083333333333;63,9916666666667;379819;350542,416666667;29276,5833333333;7,70833333333333
"District of Columbia-2015";69,7;64,8833333333333;388407;361555,75;26851,25;6,91666666666667
"District of Columbia-2016";69,9416666666667;65,5666666666667;395268,5;370615,583333333;24652,9166666667;6,23333333333333
"Florida-1990";63,15;59,2083333333333;6479629,08333333;6075277,16666667;404351,916666667;6,23333333333333
"Florida-1991";62,1166666666667;57,3666666666667;6513221,5;6015316,25;497905,25;7,64166666666667
"Florida-1992";61,975;56,7916666666667;6626233,5;6071205,5;555028;8,36666666666667
"Florida-1993";62,125;57,5416666666667;6763882,25;6263668,91666667;500213,333333333;7,4
"Florida-1994";62,4333333333333;58,375;6932964,08333333;6483743,66666667;449220,416666667;6,475
"Florida-1995";62,125;58,6333333333333;7041057,25;6646329,58333333;394727,666666667;5,6
"Florida-1996";62,0333333333333;58,7666666666667;7179879,75;6801223,58333333;378656,166666667;5,28333333333333
"Florida-1997";62,4833333333333;59,4;7386697,41666667;7022932,75;363764,666666667;4,925
"Florida-1998";62,625;59,85;7550561,25;7215166,08333333;335395,166666667;4,45
"Florida-1999";62,7333333333333;60,25;7704462;7401183,58333333;303278,416666667;3,93333333333333
"Florida-2000";63,3916666666667;61,0333333333333;7917962,66666667;7620539,91666667;297422,75;3,75833333333333
"Florida-2001";63,2166666666667;60,425;8047336,91666667;7691661,66666667;355675,25;4,425
"Florida-2002";61,9666666666667;58,8916666666667;8051471,83333333;7653031,25;398440,583333333;4,95833333333333
"Florida-2003";61,3083333333333;58,5666666666667;8122815,66666667;7760328,33333333;362487,333333333;4,46666666666667
"Florida-2004";61,5583333333333;59,2416666666667;8344749,58333333;8031494,16666667;313255,416666667;3,75
"Florida-2005";62,2416666666667;60,4583333333333;8647734,41666667;8400945,16666667;246789,25;2,875
"Florida-2006";63,0416666666667;61,4833333333333;8926589;8706253;220336;2,46666666666667
"Florida-2007";63,5666666666667;61,4666666666667;9114294,33333333;8814834,58333333;299459,75;3,3
"Florida-2008";63,25;59,65;9155655,16666667;8634203,83333333;521451,333333333;5,69166666666667
"Florida-2009";61,625;55,725;8990579,58333333;8130451,91666667;860127,666666667;9,55833333333333
"Florida-2010";61,225;54,5916666666667;9146222,58333333;8156247,91666667;989974,666666667;10,825
"Florida-2011";60,8833333333333;54,7833333333333;9260509,08333333;8333318,83333333;927190,25;10
"Florida-2012";60,4833333333333;55,25;9337584,5;8529774,08333333;807810,416666667;8,66666666666667
"Florida-2013";60,1;55,5583333333333;9417333,83333333;8708972,58333333;708361,25;7,53333333333333
"Florida-2014";59,8666666666667;56,0083333333333;9546102,5;8931062,16666667;615040,333333333;6,43333333333333
"Florida-2015";59,2666666666667;56,0083333333333;9640779,41666667;9108452,83333333;532326,583333333;5,525
"Florida-2016";59,2416666666667;56,3416666666667;9842511,83333333;9360140,66666667;482371,166666667;4,91666666666667
"Georgia-1990";67,4916666666667;63,8916666666667;3289092,41666667;3112847,16666667;176245,25;5,35
"Georgia-1991";66,6333333333333;63,1166666666667;3316584,83333333;3141032,66666667;175552,166666667;5,29166666666667
"Georgia-1992";67,275;62,8166666666667;3421064;3195348,25;225715,75;6,58333333333333
"Georgia-1993";67,325;63,475;3502595,58333333;3301992,5;200603,083333333;5,73333333333333
"Georgia-1994";67,6416666666667;64,2166666666667;3605890,75;3423742,83333333;182147,916666667;5,05
"Georgia-1995";67,575;64,35;3689639,66666667;3514532,41666667;175107,25;4,73333333333333
"Georgia-1996";68,075;64,95;3807164,08333333;3631867,41666667;175296,666666667;4,60833333333333
"Georgia-1997";68,8833333333333;65,8166666666667;3945208,5;3769027,16666667;176181,333333333;4,48333333333333
"Georgia-1998";69,1833333333333;66,2666666666667;4048685,33333333;3879074,41666667;169610,916666667;4,18333333333333
"Georgia-1999";69,125;66,475;4129773,75;3972533,16666667;157240,583333333;3,81666666666667
