"...1";"State";"Year.x";"labor force participation rate";"employment-population ratio";"labor force";"employment";"unemployment";"unemployment rate";"n";"Id";"population";"Deaths";"crude_rate";"TOTAL FILINGS";"Post";"TreatPost";"Treat";"NonTreat";"Year.y";"AREA";"DATA TYPE";"TOTAL";"500+";"PercW";"FIPS";"IncidenceRate";"BankrupcyP100k";"TimingCntrl";"Delta";"Abr";"Pairty Law Passed";"Mandated offering laws";"Minimum Mandated Benefit";"Mandated if Offered";"No Law";"AccesstoParity";"NonPairtyLaw";"Pre_Post_Parity";"lcruderate";"Expr";"Expr_No-TreatPost-Period";"Expr_No-TreatPre-Period";"Expr_Treated-Post-Period";"Expr_Treated-Pre-Period";"D_ParityLawPassed";"D_Mandatedofferinglaws";"D_MinimumMandatedBenefit";"D_MandatedifOffered";"D_NoLaw";"D_AccessToParity";"D_NonParityLaw";"lDelta"
"16";28;"Alaska";1990;72.6583333333333;67.3666666666667;270198.5;250559.083333333;19639.4166666667;7.25833333333333;32;"Alaska_1990";549982;70;12.728;1153;0;0;0;1;1990;"Alaska";"Employment";157798;54085;0.342748323806385;2;0.00209643224687353;209.643224687353;NA;NA;"AK";0;0;0;0;2004;0;0;"No-Parity";2.54380429103549;"No-TreatPre-Period";0;1;0;0;0;0;0;0;1;0;0;NA
"17";29;"Alaska";1991;72.4333333333333;66.4;276405.166666667;253330.416666667;23074.75;8.34166666666667;32;"Alaska_1991";570440;73;12.797;1064;0;0;0;1;1991;"Alaska";"Employment";163637;58747;0.359008048302034;2;0.00186522684243742;186.522684243742;2.54380429103549;0.0690000000000008;"AK";0;0;0;0;2004;0;0;"No-Parity";2.54921076845546;"No-TreatPre-Period";0;1;0;0;0;0;0;0;1;0;0;0.00540647741997313
"18";30;"Alaska";1992;72.55;66.1416666666667;286332.916666667;260994.25;25338.6666666667;8.85833333333333;32;"Alaska_1992";589389;90;15.27;1039;0;0;0;1;1992;"Alaska";"Employment";170216;60932;0.357968698594727;2;0.00176284253693231;176.284253693231;2.54921076845546;2.473;"AK";0;0;0;0;2004;0;0;"No-Parity";2.72589011923054;"No-TreatPre-Period";0;1;0;0;0;0;0;0;1;0;0;0.176679350775082
"19";31;"Alaska";1993;72.9333333333333;67.25;294227.083333333;271265.25;22961.8333333333;7.8;32;"Alaska_1993";599884;97;16.17;928;0;0;0;1;1993;"Alaska";"Employment";172423;59699;0.346235711013032;2;0.00154696574671103;154.696574671103;2.72589011923054;0.900000000000002;"AK";0;0;0;0;2004;0;0;"No-Parity";2.78315767358902;"No-TreatPre-Period";0;1;0;0;0;0;0;0;1;0;0;0.0572675543584746
"20";32;"Alaska";1994;73.5166666666667;67.9083333333333;300745.25;277837.5;22907.75;7.61666666666667;32;"Alaska_1994";603918;121;20.036;892;0;0;0;1;1994;"Alaska";"Employment";178529;63504;0.355706915963233;2;0.00147702171486857;147.702171486857;2.78315767358902;3.866;"AK";0;0;0;0;2004;0;0;"No-Parity";2.99753065549537;"No-TreatPre-Period";0;1;0;0;0;0;0;0;1;0;0;0.214372981906354
"21";33;"Alaska";1995;72.8416666666667;67.4916666666667;302733.166666667;280522.25;22210.9166666667;7.325;32;"Alaska_1995";605068;103;17.023;946;0;0;0;1;1995;"Alaska";"Employment";181958;66340;0.364589630574089;2;0.00156346063582936;156.346063582936;2.99753065549537;-3.013;"AK";0;0;0;0;2004;0;0;"No-Parity";2.83456537083243;"No-TreatPre-Period";0;1;0;0;0;0;0;0;1;0;0;-0.162965284662937
"22";34;"Alaska";1996;73.3666666666667;67.9166666666667;308593.083333333;285712.083333333;22881;7.425;32;"Alaska_1996";609231;120;19.697;1226;0;0;0;1;1996;"Alaska";"Employment";183484;65404;0.356456148765015;2;0.00201237297511125;201.237297511125;2.83456537083243;2.674;"AK";0;0;0;0;2004;0;0;"No-Parity";2.98046633988356;"No-TreatPre-Period";0;1;0;0;0;0;0;0;1;0;0;0.145900969051124
"23";35;"Alaska";1997;73.7083333333333;68.6083333333333;312324;290676.25;21647.75;6.93333333333333;32;"Alaska_1997";613530;128;20.863;892;0;0;0;1;1997;"Alaska";"Employment";188923;69594;0.368372299825855;2;0.00145388163577983;145.388163577983;2.98046633988356;1.166;"AK";0;0;0;0;2004;0;0;"No-Parity";3.03797725514774;"No-TreatPre-Period";0;1;0;0;0;0;0;0;1;0;0;0.0575109152641793
"24";36;"Alaska";1998;73.9083333333333;69.2083333333333;315362.666666667;295355.083333333;20007.5833333333;6.325;32;"Alaska_1998";620503;129;20.79;1479;1;0;0;1;1998;"Alaska";"Employment";196135;77543;0.395355240013256;2;0.00238355011982214;238.355011982214;3.03797725514774;-0.0730000000000004;"AK";0;0;0;0;2004;0;0;"No-Parity";3.03447210186992;"No-TreatPost-Period";1;0;0;0;0;0;0;0;1;0;0;-0.00350515327781542
"25";37;"Alaska";1999;73.5583333333333;68.85;318256.5;297862;20394.5;6.40833333333333;32;"Alaska_1999";624779;96;15.365;1492;1;0;0;1;1999;"Alaska";"Employment";198459;75247;0.379156400062481;2;0.00238804441250426;238.804441250426;3.03447210186992;-5.425;"AK";0;0;0;0;2004;0;0;"No-Parity";2.73209219558245;"No-TreatPost-Period";1;0;0;0;0;0;0;0;1;0;0;-0.302379906287473
"26";38;"Alaska";2000;73.3333333333333;68.7;319799.583333333;299606.333333333;20193.25;6.31666666666667;32;"Alaska_2000";626932;137;21.852;1419;1;0;0;1;2000;"Alaska";"Employment";204887;77475;0.378135264804502;2;0.00226340336751035;226.340336751035;2.73209219558245;6.487;"AK";0;0;0;0;2004;0;0;"No-Parity";3.08429245053347;"No-TreatPost-Period";1;0;0;0;0;0;0;0;1;0;0;0.352200254951023
"27";39;"Alaska";2001;72.5666666666667;68;321621.666666667;301400.916666667;20220.75;6.28333333333333;32;"Alaska_2001";633714;101;15.938;1473;1;0;0;1;2001;"Alaska";"Employment";214297;86617;0.404191379254026;2;0.00232439239152047;232.439239152047;3.08429245053347;-5.914;"AK";0;0;0;0;2004;0;0;"No-Parity";2.76870619497556;"No-TreatPost-Period";1;0;0;0;0;0;0;0;1;0;0;-0.315586255557915
"28";40;"Alaska";2002;72.3916666666667;67.175;327172.666666667;303681.583333333;23491.0833333333;7.16666666666667;32;"Alaska_2002";642337;132;20.55;1479;1;0;0;1;2002;"Alaska";"Employment";213600;85843;0.40188670411985;2;0.00230252966900552;230.252966900552;2.76870619497556;4.612;"AK";0;0;0;0;2004;0;0;"No-Parity";3.02286094094224;"No-TreatPost-Period";1;0;0;0;0;0;0;0;1;0;0;0.254154745966687
"29";41;"Alaska";2003;72.225;66.6833333333333;332337.5;306808.833333333;25528.6666666667;7.68333333333333;32;"Alaska_2003";648414;124;19.124;1510;1;0;0;1;2003;"Alaska";"Employment";216807;87078;0.401638323485865;2;0.00232875909526938;232.875909526938;3.02286094094224;-1.426;"AK";0;0;0;0;2004;0;0;"No-Parity";2.95094409076386;"No-TreatPost-Period";1;0;0;0;0;0;0;0;1;0;0;-0.0719168501783871
"30";42;"Alaska";2004;71.6416666666667;66.325;337400.666666667;312354;25046.6666666667;7.41666666666667;32;"Alaska_2004";659286;155;23.51;1508;1;0;0;1;2004;"Alaska";"Employment";223153;90485;0.405484129722657;2;0.00228732295240609;228.732295240609;2.95094409076386;4.386;"AK";0;0;0;0;2004;0;0;"No-Parity";3.15742586255198;"No-TreatPost-Period";1;0;0;0;0;0;0;0;1;0;0;0.206481771788122
"31";55;"Arizona";1990;64.2416666666667;60.8833333333333;1784150.66666667;1690996.5;93154.1666666667;5.21666666666667;32;"Arizona_1990";3670009;686;18.692;18385;0;0;0;1;1990;"Arizona";"Employment";1236131;574881;0.465064786822756;4;0.00500952449980368;500.952449980368;NA;NA;"AZ";0;0;0;1998;0;0;1998;"No-Parity";2.92809562483818;"No-TreatPre-Period";0;1;0;0;0;0;0;0;1;0;0;NA
"32";56;"Arizona";1991;63.3666666666667;59.6583333333333;1808831.58333333;1702794;106037.583333333;5.85833333333333;32;"Arizona_1991";3789418;662;17.47;19988;0;0;0;1;1991;"Arizona";"Employment";1234203;578559;0.468771344746367;4;0.00527468861973;527.468861973;2.92809562483818;-1.222;"AZ";0;0;0;1998;0;0;1998;"No-Parity";2.86048512414597;"No-TreatPre-Period";0;1;0;0;0;0;0;0;1;0;0;-0.0676105006922145
"33";57;"Arizona";1992;63.475;58.6583333333333;1875193.91666667;1733236.33333333;141957.583333333;7.56666666666667;32;"Arizona_1992";3917373;653;16.669;20234;0;0;0;1;1992;"Arizona";"Employment";1270092;584640;0.460313111176198;4;0.00516519616589995;516.519616589995;2.86048512414597;-0.800999999999998;"AZ";0;0;0;1998;0;0;1998;"No-Parity";2.81355070696095;"No-TreatPre-Period";0;1;0;0;0;0;0;0;1;0;0;-0.0469344171850143
"34";58;"Arizona";1993;63.2333333333333;59.2;1941535.08333333;1818204.58333333;123330.5;6.36666666666667;32;"Arizona_1993";4066852;727;17.876;17630;0;0;0;1;1993;"Arizona";"Employment";1325469;614197;0.463380886312694;4;0.00433504833714136;433.504833714136;2.81355070696095;1.207;"AZ";0;0;0;1998;0;0;1998;"No-Parity";2.8834590310712;"No-TreatPre-Period";0;1;0;0;0;0;0;0;1;0;0;0.069908324110254
"35";59;"Arizona";1994;65.4666666666667;61.4083333333333;2104551.66666667;1974485.25;130066.416666667;6.19166666666667;32;"Arizona_1994";4247728;767;18.057;15357;0;0;0;1;1994;"Arizona";"Employment";1414848;657730;0.464876792418691;4;0.00361534448533428;361.534448533428;2.8834590310712;0.180999999999997;"AZ";0;0;0;1998;0;0;1998;"No-Parity";2.89353342123374;"No-TreatPre-Period";0;1;0;0;0;0;0;0;1;0;0;0.0100743901625386
"36";60;"Arizona";1995;66.8333333333333;63.2916666666667;2237301.66666667;2118364.83333333;118936.833333333;5.3;32;"Arizona_1995";4433841;805;18.156;16012;0;0;0;1;1995;"Arizona";"Employment";1506877;714182;0.473948437729158;4;0.00361131578692154;361.131578692154;2.89353342123374;0.0990000000000002;"AZ";0;0;0;1998;0;0;1998;"No-Parity";2.89900108459422;"No-TreatPre-Period";0;1;0;0;0;0;0;0;1;0;0;0.00546766336047533
"37";61;"Arizona";1996;65.9916666666667;62.3833333333333;2286824;2161257.58333333;125566.416666667;5.49166666666667;32;"Arizona_1996";4589841;726;15.818;20284;0;0;0;1;1996;"Arizona";"Employment";1599275;777328;0.486050241515687;4;0.00441932520102548;441.932520102548;2.89900108459422;-2.338;"AZ";0;0;0;1998;0;0;1998;"No-Parity";2.76114853209723;"No-TreatPre-Period";0;1;0;0;0;0;0;0;1;0;0;-0.137852552496994
"38";62;"Arizona";1997;64.3416666666667;61.3416666666667;2305575.16666667;2198669.33333333;106905.833333333;4.625;32;"Arizona_1997";4739994;757;15.97;15357;0;0;0;1;1997;"Arizona";"Employment";1701357;841331;0.494505856207721;4;0.0032398775188323;323.98775188323;2.76114853209723;0.152000000000001;"AZ";0;0;0;1998;0;0;1998;"No-Parity";2.77071196222692;"No-TreatPre-Period";0;1;0;0;0;0;0;0;1;0;0;0.00956343012969585
"39";63;"Arizona";1998;64.9333333333333;62.1583333333333;2389885.33333333;2287795.91666667;102089.416666667;4.275;32;"Arizona_1998";4886250;804;16.454;24191;1;0;0;1;1998;"Arizona";"Employment";1763508;889256;0.504254020962763;4;0.00495083141468406;495.083141468406;2.77071196222692;0.484;"AZ";0;0;0;1998;0;0;1998;"No-Parity";2.80056860874674;"No-TreatPost-Period";1;0;0;0;0;0;0;1;0;0;1;0.0298566465198173
"40";64;"Arizona";1999;65.9083333333333;62.9416666666667;2482587.66666667;2371643.08333333;110944.583333333;4.45833333333333;32;"Arizona_1999";5023823;766;15.247;22609;1;0;0;1;1999;"Arizona";"Employment";1838277;940441;0.511588297084716;4;0.00450035759619716;450.035759619716;2.80056860874674;-1.207;"AZ";0;0;0;1998;0;0;1998;"No-Parity";2.72438276238977;"No-TreatPost-Period";1;0;0;0;0;0;0;1;0;0;1;-0.0761858463569687
"41";65;"Arizona";2000;65.2333333333333;62.6416666666667;2511190.25;2411189.25;100001;3.98333333333333;32;"Arizona_2000";5130632;783;15.261;20955;1;0;0;1;2000;"Arizona";"Employment";1919353;1002070;0.522087390907248;4;0.00408429214958313;408.429214958313;2.72438276238977;0.0139999999999993;"AZ";0;0;0;1998;0;0;1998;"No-Parity";2.72530055450874;"No-TreatPost-Period";1;0;0;0;0;0;0;1;0;0;1;0.000917792118967586
"42";66;"Arizona";2001;65.5833333333333;62.4833333333333;2592750;2470131.16666667;122618.833333333;4.725;32;"Arizona_2001";5273477;762;14.45;25489;1;0;0;1;2001;"Arizona";"Employment";1941599;1011522;0.520973692302066;4;0.00483343342542311;483.343342542311;2.72530055450874;-0.811;"AZ";0;0;0;1998;0;0;1998;"No-Parity";2.67069441455844;"No-TreatPost-Period";1;0;0;0;0;0;0;1;0;0;1;-0.0546061399502964
"43";67;"Arizona";2002;66.025;61.9666666666667;2683524.5;2518280.66666667;165243.833333333;6.14166666666667;32;"Arizona_2002";5396255;884;16.382;29716;1;0;0;1;2002;"Arizona";"Employment";1945472;1015247;0.52185125254951;4;0.00550678201827008;550.678201827008;2.67069441455844;1.932;"AZ";0;0;0;1998;0;0;1998;"No-Parity";2.79618317109341;"No-TreatPost-Period";1;0;0;0;0;0;0;1;0;0;1;0.125488756534969
"44";68;"Arizona";2003;65.3833333333333;61.5833333333333;2728848.58333333;2570878.08333333;157970.5;5.78333333333333;32;"Arizona_2003";5510364;840;15.244;31811;1;0;0;1;2003;"Arizona";"Employment";1998795;1039989;0.520307985561301;4;0.0057729398638638;577.29398638638;2.79618317109341;-1.138;"AZ";0;0;0;1998;0;0;1998;"No-Parity";2.72418598301161;"No-TreatPost-Period";1;0;0;0;0;0;0;1;0;0;1;-0.0719971880817964
"45";69;"Arizona";2004;64.7833333333333;61.5416666666667;2787807.83333333;2649103;138704.833333333;4.96666666666667;32;"Arizona_2004";5652404;879;15.551;31387;1;0;0;1;2004;"Arizona";"Employment";2044134;1042186;0.509842309750731;4;0.00555285857132647;555.285857132647;2.72418598301161;0.307;"AZ";0;0;0;1998;0;0;1998;"No-Parity";2.7441249452392;"No-TreatPost-Period";1;0;0;0;0;0;0;1;0;0;1;0.0199389622275867
"46";82;"Arkansas";1990;63.4833333333333;59.1166666666667;1130272.16666667;1052744.33333333;77527.8333333333;6.875;32;"Arkansas_1990";2352527;293;12.455;7062;0;0;1;1;1990;"Arkansas";"Employment";750877;352559;0.469529630019297;5;0.00300187840564635;300.187840564635;NA;NA;"AR";1997;0;0;0;0;1997;0;"Pre-Pairty";2.52212214871414;"Treated-Pre-Period";0;0;0;1;0;0;0;0;1;0;0;NA
"47";83;"Arkansas";1991;63.0333333333333;58.425;1136568.41666667;1053431;83137.4166666667;7.30833333333333;32;"Arkansas_1991";2384138;283;11.87;8315;0;0;1;1;1991;"Arkansas";"Employment";759511;357566;0.470784491600517;5;0.00348763368563397;348.763368563397;2.52212214871414;-0.585000000000001;"AR";1997;0;0;0;0;1997;0;"Pre-Pairty";2.47401420862158;"Treated-Pre-Period";0;0;0;1;0;0;0;0;1;0;0;-0.0481079400925672
"48";84;"Arkansas";1992;63.5083333333333;59.075;1159072;1077989.25;81082.75;7;32;"Arkansas_1992";2416429;293;12.125;8253;0;0;1;1;1992;"Arkansas";"Employment";786919;371361;0.471917694197243;5;0.00341537036676848;341.537036676848;2.47401420862158;0.255000000000001;"AR";1997;0;0;0;0;1997;0;"Pre-Pairty";2.49526943682355;"Treated-Pre-Period";0;0;0;1;0;0;0;0;1;0;0;0.0212552282019707
"49";85;"Arkansas";1993;63.2166666666667;59.35;1174327.91666667;1102373.08333333;71954.8333333333;6.13333333333333;32;"Arkansas_1993";2457014;317;12.902;7000;0;0;1;1;1993;"Arkansas";"Employment";817939;388555;0.475041537327356;5;0.00284898661546088;284.898661546088;2.49526943682355;0.776999999999999;"AR";1997;0;0;0;0;1997;0;"Pre-Pairty";2.55738233811005;"Treated-Pre-Period";0;0;0;1;0;0;0;0;1;0;0;0.0621129012865027
"50";86;"Arkansas";1994;63.9833333333333;60.5;1206581.41666667;1140993.16666667;65588.25;5.44166666666667;32;"Arkansas_1994";2494910;364;14.59;6840;0;0;1;1;1994;"Arkansas";"Employment";842704;409880;0.48638667907118;5;0.00274158186066832;274.158186066832;2.55738233811005;1.688;"AR";1997;0;0;0;0;1997;0;"Pre-Pairty";2.68033636253469;"Treated-Pre-Period";0;0;0;1;0;0;0;0;1;0;0;0.122954024424645
"51";87;"Arkansas";1995;63.925;60.8083333333333;1222573.08333333;1163153.83333333;59419.25;4.86666666666667;32;"Arkansas_1995";2535835;360;14.197;9378;0;0;1;1;1995;"Arkansas";"Employment";891147;436593;0.489922538032446;5;0.00369819014249744;369.819014249744;2.68033636253469;-0.393000000000001;"AR";1997;0;0;0;0;1997;0;"Pre-Pairty";2.65303067468144;"Treated-Pre-Period";0;0;0;1;0;0;0;0;1;0;0;-0.0273056878532576
"52";88;"Arkansas";1996;63.8166666666667;60.5166666666667;1237381;1173454.08333333;63926.9166666667;5.16666666666667;32;"Arkansas_1996";2573244;323;12.552;13194;0;0;1;1;1996;"Arkansas";"Employment";911902;452262;0.495954609157563;5;0.00512738006967081;512.738006967081;2.65303067468144;-1.645;"AR";1997;0;0;0;0;1997;0;"Pre-Pairty";2.52988001543073;"Treated-Pre-Period";0;0;0;1;0;0;0;0;1;0;0;-0.123150659250705
"53";89;"Arkansas";1997;63.1583333333333;59.9083333333333;1239730.08333333;1176261.5;63468.5833333333;5.10833333333333;32;"Arkansas_1997";2602253;356;13.68;6840;0;0;1;0;1997;"Arkansas";"Employment";925498;461962;0.499149647000858;5;0.00262849154175247;262.849154175247;2.52988001543073;1.128;"AR";1997;0;0;0;0;1997;0;"Post-Parity";2.6159349121944;"Treated-Pre-Period";0;0;0;1;1;0;0;0;0;1;0;0.086054896763673
"54";90;"Arkansas";1998;62.825;59.6666666666667;1245195.25;1182389.66666667;62805.5833333333;5.05;32;"Arkansas_1998";2627564;344;13.092;17052;1;1;1;0;1998;"Arkansas";"Employment";944935;481050;0.50908263531354;5;0.00648966114621756;648.966114621756;2.6159349121944;-0.587999999999999;"AR";1997;0;0;0;0;1997;0;"Post-Parity";2.57200135663893;"Treated-Post-Period";0;0;1;0;1;0;0;0;0;1;0;-0.0439335555554701
"55";91;"Arkansas";1999;62.7;59.875;1256935.33333333;1199999.41666667;56935.9166666667;4.53333333333333;32;"Arkansas_1999";2651860;336;12.67;16533;1;1;1;0;1999;"Arkansas";"Employment";954948;488020;0.51104353326045;5;0.00623449201692397;623.449201692397;2.57200135663893;-0.422000000000001;"AR";1997;0;0;0;0;1997;0;"Post-Parity";2.53923699433305;"Treated-Post-Period";0;0;1;0;1;0;0;0;0;1;0;-0.0327643623058864
"56";92;"Arkansas";2000;62.2416666666667;59.6166666666667;1260795.41666667;1208040.16666667;52755.25;4.175;32;"Arkansas_2000";2673400;349;13.055;16784;1;1;1;0;2000;"Arkansas";"Employment";990830;512237;0.516977685374888;5;0.00627814767711528;627.814767711528;2.53923699433305;0.385;"AR";1997;0;0;0;0;1997;0;"Post-Parity";2.56917120215109;"Treated-Post-Period";0;0;1;0;1;0;0;0;0;1;0;0.0299342078180445
"57";93;"Arkansas";2001;61.825;58.8916666666667;1261124.5;1201103;60021.5;4.75833333333333;32;"Arkansas_2001";2691571;382;14.192;21484;1;1;1;0;2001;"Arkansas";"Employment";995521;518647;0.520980471531992;5;0.00798195551965748;798.195551965748;2.56917120215109;1.137;"AR";1997;0;0;0;0;1997;0;"Post-Parity";2.65267842556722;"Treated-Post-Period";0;0;1;0;1;0;0;0;0;1;0;0.0835072234161314
"58";94;"Arkansas";2002;62.2;58.9166666666667;1277111.83333333;1209163.41666667;67948.4166666667;5.33333333333333;32;"Arkansas_2002";2705927;376;13.895;23546;1;1;1;0;2002;"Arkansas";"Employment";974969;499297;0.512115769834733;5;0.00870163903165163;870.163903165163;2.65267842556722;-0.297000000000001;"AR";1997;0;0;0;0;1997;0;"Post-Parity";2.63152906319447;"Treated-Post-Period";0;0;1;0;1;0;0;0;0;1;0;-0.0211493623727566
