"Notes"	"State"	"State Code"	"Year"	"Year Code"	Deaths	Population	Crude Rate
	"Arkansas"	"05"	"2005"	"2005"	400	2781097	14.383
	"Arkansas"	"05"	"2006"	"2006"	371	2821761	13.148
	"Arkansas"	"05"	"2007"	"2007"	402	2848650	14.112
	"Arkansas"	"05"	"2008"	"2008"	446	2874554	15.515
	"Arkansas"	"05"	"2009"	"2009"	422	2896843	14.568
	"Arkansas"	"05"	"2010"	"2010"	447	2915918	15.330
	"Arkansas"	"05"	"2011"	"2011"	461	2939493	15.683
	"Arkansas"	"05"	"2012"	"2012"	485	2950685	16.437
	"Arkansas"	"05"	"2013"	"2013"	515	2958663	17.407
	"Arkansas"	"05"	"2014"	"2014"	514	2966912	17.324
	"Arkansas"	"05"	"2015"	"2015"	577	2977853	19.376
	"Arkansas"	"05"	"2016"	"2016"	553	2988248	18.506
	"California"	"06"	"1999"	"1999"	3069	33499204	9.161
	"California"	"06"	"2000"	"2000"	2963	33871648	8.748
	"California"	"06"	"2001"	"2001"	2819	34479458	8.176
	"California"	"06"	"2002"	"2002"	3218	34871843	9.228
	"California"	"06"	"2003"	"2003"	3391	35253159	9.619
	"California"	"06"	"2004"	"2004"	3349	35574576	9.414
	"California"	"06"	"2005"	"2005"	3195	35827943	8.918
	"California"	"06"	"2006"	"2006"	3323	36021202	9.225
	"California"	"06"	"2007"	"2007"	3586	36250311	9.892
	"California"	"06"	"2008"	"2008"	3765	36604337	10.286
	"California"	"06"	"2009"	"2009"	3810	36961229	10.308
	"California"	"06"	"2010"	"2010"	3904	37253956	10.479
	"California"	"06"	"2011"	"2011"	3990	37676861	10.590
	"California"	"06"	"2012"	"2012"	3887	38011074	10.226
	"California"	"06"	"2013"	"2013"	4012	38335203	10.466
	"California"	"06"	"2014"	"2014"	4205	38680810	10.871
	"California"	"06"	"2015"	"2015"	4165	38993940	10.681
	"California"	"06"	"2016"	"2016"	4277	39250017	10.897
	"Colorado"	"08"	"1999"	"1999"	574	4226018	13.583
	"Colorado"	"08"	"2000"	"2000"	613	4301261	14.252
	"Colorado"	"08"	"2001"	"2001"	722	4425687	16.314
	"Colorado"	"08"	"2002"	"2002"	726	4490406	16.168
	"Colorado"	"08"	"2003"	"2003"	728	4528732	16.075
	"Colorado"	"08"	"2004"	"2004"	796	4575013	17.399
	"Colorado"	"08"	"2005"	"2005"	799	4631888	17.250
	"Colorado"	"08"	"2006"	"2006"	730	4720423	15.465
	"Colorado"	"08"	"2007"	"2007"	811	4803868	16.882
	"Colorado"	"08"	"2008"	"2008"	801	4889730	16.381
	"Colorado"	"08"	"2009"	"2009"	941	4972195	18.925
	"Colorado"	"08"	"2010"	"2010"	865	5029196	17.200
	"Colorado"	"08"	"2011"	"2011"	910	5118360	17.779
	"Colorado"	"08"	"2012"	"2012"	1049	5189867	20.212
	"Colorado"	"08"	"2013"	"2013"	1007	5267603	19.117
	"Colorado"	"08"	"2014"	"2014"	1080	5349648	20.188
	"Colorado"	"08"	"2015"	"2015"	1093	5448819	20.059
	"Colorado"	"08"	"2016"	"2016"	1167	5540545	21.063
	"Connecticut"	"09"	"1999"	"1999"	274	3386401	8.091
	"Connecticut"	"09"	"2000"	"2000"	304	3405565	8.927
	"Connecticut"	"09"	"2001"	"2001"	282	3432835	8.215
	"Connecticut"	"09"	"2002"	"2002"	260	3458749	7.517
	"Connecticut"	"09"	"2003"	"2003"	272	3484336	7.806
	"Connecticut"	"09"	"2004"	"2004"	293	3496094	8.381
	"Connecticut"	"09"	"2005"	"2005"	293	3506956	8.355
	"Connecticut"	"09"	"2006"	"2006"	291	3517460	8.273
	"Connecticut"	"09"	"2007"	"2007"	270	3527270	7.655
	"Connecticut"	"09"	"2008"	"2008"	314	3545579	8.856
	"Connecticut"	"09"	"2009"	"2009"	316	3561807	8.872
	"Connecticut"	"09"	"2010"	"2010"	353	3574097	9.877
	"Connecticut"	"09"	"2011"	"2011"	370	3589893	10.307
	"Connecticut"	"09"	"2012"	"2012"	367	3593795	10.212
	"Connecticut"	"09"	"2013"	"2013"	330	3596003	9.177
	"Connecticut"	"09"	"2014"	"2014"	378	3591873	10.524
	"Connecticut"	"09"	"2015"	"2015"	384	3584730	10.712
	"Connecticut"	"09"	"2016"	"2016"	396	3576452	11.072
	"Delaware"	"10"	"1999"	"1999"	86	774990	11.097
	"Delaware"	"10"	"2000"	"2000"	82	783600	10.465
	"Delaware"	"10"	"2001"	"2001"	107	795699	13.447
	"Delaware"	"10"	"2002"	"2002"	74	806169	9.179
	"Delaware"	"10"	"2003"	"2003"	94	818003	11.491
	"Delaware"	"10"	"2004"	"2004"	93	830803	11.194
	"Delaware"	"10"	"2005"	"2005"	83	845150	9.821
	"Delaware"	"10"	"2006"	"2006"	90	859268	10.474
	"Delaware"	"10"	"2007"	"2007"	95	871749	10.898
	"Delaware"	"10"	"2008"	"2008"	109	883874	12.332
	"Delaware"	"10"	"2009"	"2009"	107	891730	11.999
	"Delaware"	"10"	"2010"	"2010"	106	897934	11.805
	"Delaware"	"10"	"2011"	"2011"	105	907924	11.565
	"Delaware"	"10"	"2012"	"2012"	125	916993	13.632
	"Delaware"	"10"	"2013"	"2013"	122	925395	13.184
	"Delaware"	"10"	"2014"	"2014"	126	934948	13.477
	"Delaware"	"10"	"2015"	"2015"	122	944076	12.923
	"Delaware"	"10"	"2016"	"2016"	119	952065	12.499
	"District of Columbia"	"11"	"1999"	"1999"	30	570213	5.261
	"District of Columbia"	"11"	"2000"	"2000"	23	572059	4.021
	"District of Columbia"	"11"	"2001"	"2001"	40	574504	6.963
	"District of Columbia"	"11"	"2002"	"2002"	31	573158	5.409
	"District of Columbia"	"11"	"2003"	"2003"	36	568502	6.332
	"District of Columbia"	"11"	"2004"	"2004"	33	567754	5.812
	"District of Columbia"	"11"	"2005"	"2005"	32	567136	5.642
	"District of Columbia"	"11"	"2006"	"2006"	30	570681	5.257
	"District of Columbia"	"11"	"2007"	"2007"	35	574404	6.093
	"District of Columbia"	"11"	"2008"	"2008"	43	580236	7.411
	"District of Columbia"	"11"	"2009"	"2009"	29	592228	4.897
	"District of Columbia"	"11"	"2010"	"2010"	41	601723	6.814
	"District of Columbia"	"11"	"2011"	"2011"	37	620477	5.963
	"District of Columbia"	"11"	"2012"	"2012"	37	635327	5.824
	"District of Columbia"	"11"	"2013"	"2013"	38	649165	5.854
	"District of Columbia"	"11"	"2014"	"2014"	52	659005	7.891
	"District of Columbia"	"11"	"2015"	"2015"	34	670377	5.072
	"District of Columbia"	"11"	"2016"	"2016"	40	681170	5.872
	"Florida"	"12"	"1999"	"1999"	2027	15759421	12.862
	"Florida"	"12"	"2000"	"2000"	2086	15982378	13.052
	"Florida"	"12"	"2001"	"2001"	2309	16356966	14.116
	"Florida"	"12"	"2002"	"2002"	2334	16689370	13.985
	"Florida"	"12"	"2003"	"2003"	2292	17004085	13.479
	"Florida"	"12"	"2004"	"2004"	2384	17415318	13.689
	"Florida"	"12"	"2005"	"2005"	2338	17842038	13.104
	"Florida"	"12"	"2006"	"2006"	2426	18166990	13.354
	"Florida"	"12"	"2007"	"2007"	2583	18367842	14.063
	"Florida"	"12"	"2008"	"2008"	2737	18527305	14.773
	"Florida"	"12"	"2009"	"2009"	2852	18652644	15.290
	"Florida"	"12"	"2010"	"2010"	2786	18801310	14.818
	"Florida"	"12"	"2011"	"2011"	2876	19096952	15.060
	"Florida"	"12"	"2012"	"2012"	2998	19344156	15.498
	"Florida"	"12"	"2013"	"2013"	2918	19582022	14.901
	"Florida"	"12"	"2014"	"2014"	3029	19888741	15.230
	"Florida"	"12"	"2015"	"2015"	3200	20244914	15.806
	"Florida"	"12"	"2016"	"2016"	3137	20612439	15.219
	"Georgia"	"13"	"1999"	"1999"	872	8045965	10.838
	"Georgia"	"13"	"2000"	"2000"	846	8186453	10.334
	"Georgia"	"13"	"2001"	"2001"	931	8377038	11.114
	"Georgia"	"13"	"2002"	"2002"	903	8508256	10.613
	"Georgia"	"13"	"2003"	"2003"	963	8622793	11.168
	"Georgia"	"13"	"2004"	"2004"	966	8769252	11.016
	"Georgia"	"13"	"2005"	"2005"	924	8925922	10.352
	"Georgia"	"13"	"2006"	"2006"	921	9155813	10.059
	"Georgia"	"13"	"2007"	"2007"	996	9349988	10.652
	"Georgia"	"13"	"2008"	"2008"	980	9504843	10.311
	"Georgia"	"13"	"2009"	"2009"	1132	9620846	11.766
	"Georgia"	"13"	"2010"	"2010"	1129	9687653	11.654
	"Georgia"	"13"	"2011"	"2011"	1157	9811610	11.792
	"Georgia"	"13"	"2012"	"2012"	1165	9914668	11.750
	"Georgia"	"13"	"2013"	"2013"	1203	9984938	12.048
	"Georgia"	"13"	"2014"	"2014"	1292	10087231	12.808
	"Georgia"	"13"	"2015"	"2015"	1317	10199398	12.913
	"Georgia"	"13"	"2016"	"2016"	1403	10310371	13.608
	"Hawaii"	"15"	"1999"	"1999"	136	1210300	11.237
	"Hawaii"	"15"	"2000"	"2000"	137	1211537	11.308
	"Hawaii"	"15"	"2001"	"2001"	136	1225948	11.093
	"Hawaii"	"15"	"2002"	"2002"	120	1239613	9.680
	"Hawaii"	"15"	"2003"	"2003"	130	1251154	10.390
	"Hawaii"	"15"	"2004"	"2004"	116	1273569	9.108
	"Hawaii"	"15"	"2005"	"2005"	107	1292729	8.277
	"Hawaii"	"15"	"2006"	"2006"	120	1309731	9.162
	"Hawaii"	"15"	"2007"	"2007"	133	1315675	10.109
	"Hawaii"	"15"	"2008"	"2008"	133	1332213	9.983
	"Hawaii"	"15"	"2009"	"2009"	174	1346717	12.920
	"Hawaii"	"15"	"2010"	"2010"	207	1360301	15.217
	"Hawaii"	"15"	"2011"	"2011"	180	1377864	13.064
	"Hawaii"	"15"	"2012"	"2012"	190	1391820	13.651
	"Hawaii"	"15"	"2013"	"2013"	171	1406481	12.158
	"Hawaii"	"15"	"2014"	"2014"	204	1416349	14.403
	"Hawaii"	"15"	"2015"	"2015"	201	1425157	14.104
	"Hawaii"	"15"	"2016"	"2016"	174	1428557	12.180
	"Idaho"	"16"	"1999"	"1999"	181	1275674	14.189
	"Idaho"	"16"	"2000"	"2000"	166	1293953	12.829
	"Idaho"	"16"	"2001"	"2001"	209	1319962	15.834
	"Idaho"	"16"	"2002"	"2002"	202	1340372	15.070
	"Idaho"	"16"	"2003"	"2003"	216	1363380	15.843
	"Idaho"	"16"	"2004"	"2004"	236	1391802	16.956
	"Idaho"	"16"	"2005"	"2005"	228	1428241	15.964
	"Idaho"	"16"	"2006"	"2006"	222	1468669	15.116
	"Idaho"	"16"	"2007"	"2007"	223	1505105	14.816
	"Idaho"	"16"	"2008"	"2008"	252	1534320	16.424
	"Idaho"	"16"	"2009"	"2009"	304	1554439	19.557
	"Idaho"	"16"	"2010"	"2010"	290	1567582	18.500
	"Idaho"	"16"	"2011"	"2011"	281	1584143	17.738
	"Idaho"	"16"	"2012"	"2012"	297	1595911	18.610
	"Idaho"	"16"	"2013"	"2013"	308	1612011	19.107
	"Idaho"	"16"	"2014"	"2014"	320	1633532	19.589
	"Idaho"	"16"	"2015"	"2015"	359	1652828	21.720
	"Idaho"	"16"	"2016"	"2016"	351	1683140	20.854
	"Illinois"	"17"	"1999"	"1999"	1020	12359020	8.253
	"Illinois"	"17"	"2000"	"2000"	1002	12419293	8.068
	"Illinois"	"17"	"2001"	"2001"	1138	12488445	9.112
	"Illinois"	"17"	"2002"	"2002"	1140	12525556	9.101
	"Illinois"	"17"	"2003"	"2003"	1007	12556006	8.020
	"Illinois"	"17"	"2004"	"2004"	1026	12589773	8.149
	"Illinois"	"17"	"2005"	"2005"	1084	12609903	8.596
	"Illinois"	"17"	"2006"	"2006"	1008	12643955	7.972
	"Illinois"	"17"	"2007"	"2007"	1106	12695866	8.711
	"Illinois"	"17"	"2008"	"2008"	1197	12747038	9.390
	"Illinois"	"17"	"2009"	"2009"	1176	12796778	9.190
	"Illinois"	"17"	"2010"	"2010"	1177	12830632	9.173
	"Illinois"	"17"	"2011"	"2011"	1221	12860012	9.495
	"Illinois"	"17"	"2012"	"2012"	1291	12870798	10.030
	"Illinois"	"17"	"2013"	"2013"	1319	12879505	10.241
	"Illinois"	"17"	"2014"	"2014"	1396	12867544	10.849
	"Illinois"	"17"	"2015"	"2015"	1361	12839047	10.600
	"Illinois"	"17"	"2016"	"2016"	1413	12801539	11.038
	"Indiana"	"18"	"1999"	"1999"	628	6044969	10.389
	"Indiana"	"18"	"2000"	"2000"	682	6080485	11.216
	"Indiana"	"18"	"2001"	"2001"	715	6127760	11.668
	"Indiana"	"18"	"2002"	"2002"	743	6155967	12.070
	"Indiana"	"18"	"2003"	"2003"	736	6196638	11.877
	"Indiana"	"18"	"2004"	"2004"	703	6233007	11.279
	"Indiana"	"18"	"2005"	"2005"	745	6278616	11.866
	"Indiana"	"18"	"2006"	"2006"	822	6332669	12.980
	"Indiana"	"18"	"2007"	"2007"	790	6379599	12.383
	"Indiana"	"18"	"2008"	"2008"	809	6424806	12.592
	"Indiana"	"18"	"2009"	"2009"	826	6459325	12.788
	"Indiana"	"18"	"2010"	"2010"	864	6483802	13.326
	"Indiana"	"18"	"2011"	"2011"	878	6516480	13.474
	"Indiana"	"18"	"2012"	"2012"	940	6537743	14.378
	"Indiana"	"18"	"2013"	"2013"	943	6569102	14.355
	"Indiana"	"18"	"2014"	"2014"	947	6595233	14.359
	"Indiana"	"18"	"2015"	"2015"	959	6612768	14.502
	"Indiana"	"18"	"2016"	"2016"	1033	6633053	15.574
	"Iowa"	"19"	"1999"	"1999"	305	2917634	10.454
	"Iowa"	"19"	"2000"	"2000"	289	2926324	9.876
	"Iowa"	"19"	"2001"	"2001"	303	2931997	10.334
	"Iowa"	"19"	"2002"	"2002"	314	2934234	10.701
	"Iowa"	"19"	"2003"	"2003"	352	2941999	11.965
	"Iowa"	"19"	"2004"	"2004"	343	2953635	11.613
	"Iowa"	"19"	"2005"	"2005"	332	2964454	11.199
	"Iowa"	"19"	"2006"	"2006"	334	2982644	11.198
	"Iowa"	"19"	"2007"	"2007"	322	2999212	10.736
	"Iowa"	"19"	"2008"	"2008"	380	3016734	12.596
	"Iowa"	"19"	"2009"	"2009"	361	3032870	11.903
	"Iowa"	"19"	"2010"	"2010"	371	3046355	12.178
	"Iowa"	"19"	"2011"	"2011"	422	3065223	13.767
	"Iowa"	"19"	"2012"	"2012"	383	3076310	12.450
	"Iowa"	"19"	"2013"	"2013"	447	3091930	14.457
	"Iowa"	"19"	"2014"	"2014"	407	3108030	13.095
	"Iowa"	"19"	"2015"	"2015"	432	3121997	13.837
	"Iowa"	"19"	"2016"	"2016"	450	3134693	14.355
	"Kansas"	"20"	"1999"	"1999"	299	2678338	11.164
	"Kansas"	"20"	"2000"	"2000"	325	2688418	12.089
	"Kansas"	"20"	"2001"	"2001"	292	2702162	10.806
	"Kansas"	"20"	"2002"	"2002"	344	2713535	12.677
	"Kansas"	"20"	"2003"	"2003"	347	2723004	12.743
	"Kansas"	"20"	"2004"	"2004"	370	2734373	13.531
	"Kansas"	"20"	"2005"	"2005"	361	2745299	13.150
	"Kansas"	"20"	"2006"	"2006"	379	2762931	13.717
	"Kansas"	"20"	"2007"	"2007"	382	2783785	13.722
	"Kansas"	"20"	"2008"	"2008"	337	2808076	12.001
	"Kansas"	"20"	"2009"	"2009"	381	2832704	13.450
	"Kansas"	"20"	"2010"	"2010"	401	2853118	14.055
	"Kansas"	"20"	"2011"	"2011"	394	2869503	13.731
	"Kansas"	"20"	"2012"	"2012"	502	2885262	17.399
	"Kansas"	"20"	"2013"	"2013"	424	2892821	14.657
	"Kansas"	"20"	"2014"	"2014"	455	2899360	15.693
	"Kansas"	"20"	"2015"	"2015"	477	2906721	16.410
	"Kansas"	"20"	"2016"	"2016"	514	2907289	17.680
	"Kentucky"	"21"	"1999"	"1999"	470	4018053	11.697
	"Kentucky"	"21"	"2000"	"2000"	520	4041769	12.866
	"Kentucky"	"21"	"2001"	"2001"	492	4068132	12.094
	"Kentucky"	"21"	"2002"	"2002"	539	4089875	13.179
	"Kentucky"	"21"	"2003"	"2003"	567	4117170	13.772
	"Kentucky"	"21"	"2004"	"2004"	560	4146101	13.507
	"Kentucky"	"21"	"2005"	"2005"	566	4182742	13.532
	"Kentucky"	"21"	"2006"	"2006"	619	4219239	14.671
	"Kentucky"	"21"	"2007"	"2007"	649	4256672	15.247
	"Kentucky"	"21"	"2008"	"2008"	611	4289878	14.243
	"Kentucky"	"21"	"2009"	"2009"	592	4317074	13.713
	"Kentucky"	"21"	"2010"	"2010"	631	4339367	14.541
	"Kentucky"	"21"	"2011"	"2011"	675	4369354	15.449
	"Kentucky"	"21"	"2012"	"2012"	722	4384799	16.466
	"Kentucky"	"21"	"2013"	"2013"	698	4400477	15.862
	"Kentucky"	"21"	"2014"	"2014"	728	4413057	16.497
	"Kentucky"	"21"	"2015"	"2015"	775	4424611	17.516
	"Kentucky"	"21"	"2016"	"2016"	756	4436974	17.039
	"Louisiana"	"22"	"1999"	"1999"	518	4460811	11.612
	"Louisiana"	"22"	"2000"	"2000"	467	4468976	10.450
	"Louisiana"	"22"	"2001"	"2001"	491	4477875	10.965
	"Louisiana"	"22"	"2002"	"2002"	497	4497267	11.051
	"Louisiana"	"22"	"2003"	"2003"	460	4521042	10.175
	"Louisiana"	"22"	"2004"	"2004"	537	4552238	11.796
	"Louisiana"	"22"	"2005"	"2005"	505	4576628	11.034
	"Louisiana"	"22"	"2006"	"2006"	490	4302665	11.388
	"Louisiana"	"22"	"2007"	"2007"	521	4375581	11.907
	"Louisiana"	"22"	"2008"	"2008"	531	4435586	11.971
	"Louisiana"	"22"	"2009"	"2009"	490	4491648	10.909
	"Louisiana"	"22"	"2010"	"2010"	557	4533372	12.287
	"Louisiana"	"22"	"2011"	"2011"	571	4575404	12.480
	"Louisiana"	"22"	"2012"	"2012"	567	4603429	12.317
	"Louisiana"	"22"	"2013"	"2013"	581	4626402	12.558
	"Louisiana"	"22"	"2014"	"2014"	678	4647880	14.587
	"Louisiana"	"22"	"2015"	"2015"	721	4668960	15.442
	"Louisiana"	"22"	"2016"	"2016"	676	4681666	14.439
	"Maine"	"23"	"1999"	"1999"	175	1266808	13.814
	"Maine"	"23"	"2000"	"2000"	154	1274923	12.079
	"Maine"	"23"	"2001"	"2001"	160	1285692	12.445
	"Maine"	"23"	"2002"	"2002"	166	1295960	12.809
	"Maine"	"23"	"2003"	"2003"	137	1306513	10.486
	"Maine"	"23"	"2004"	"2004"	171	1313688	13.017
	"Maine"	"23"	"2005"	"2005"	175	1318787	13.270
	"Maine"	"23"	"2006"	"2006"	158	1323619	11.937
	"Maine"	"23"	"2007"	"2007"	190	1327040	14.318
	"Maine"	"23"	"2008"	"2008"	181	1330509	13.604
	"Maine"	"23"	"2009"	"2009"	197	1329590	14.817
	"Maine"	"23"	"2010"	"2010"	186	1328361	14.002
	"Maine"	"23"	"2011"	"2011"	233	1328231	17.542
	"Maine"	"23"	"2012"	"2012"	209	1328895	15.727
	"Maine"	"23"	"2013"	"2013"	245	1329076	18.434
	"Maine"	"23"	"2014"	"2014"	220	1330719	16.532
	"Maine"	"23"	"2015"	"2015"	235	1329453	17.676
	"Maine"	"23"	"2016"	"2016"	225	1331479	16.899
	"Maryland"	"24"	"1999"	"1999"	433	5254509	8.241
	"Maryland"	"24"	"2000"	"2000"	474	5296486	8.949
	"Maryland"	"24"	"2001"	"2001"	452	5374691	8.410
	"Maryland"	"24"	"2002"	"2002"	477	5440389	8.768
	"Maryland"	"24"	"2003"	"2003"	491	5496269	8.933
	"Maryland"	"24"	"2004"	"2004"	497	5546935	8.960
	"Maryland"	"24"	"2005"	"2005"	471	5592379	8.422
	"Maryland"	"24"	"2006"	"2006"	493	5627367	8.761
	"Maryland"	"24"	"2007"	"2007"	517	5653408	9.145
	"Maryland"	"24"	"2008"	"2008"	503	5684965	8.848
	"Maryland"	"24"	"2009"	"2009"	551	5730388	9.615
	"Maryland"	"24"	"2010"	"2010"	502	5773552	8.695
	"Maryland"	"24"	"2011"	"2011"	556	5843603	9.515
	"Maryland"	"24"	"2012"	"2012"	582	5889651	9.882
	"Maryland"	"24"	"2013"	"2013"	567	5931129	9.560
	"Maryland"	"24"	"2014"	"2014"	605	5967295	10.139
	"Maryland"	"24"	"2015"	"2015"	553	5994983	9.224
	"Maryland"	"24"	"2016"	"2016"	585	6016447	9.723
	"Massachusetts"	"25"	"1999"	"1999"	431	6317345	6.822
	"Massachusetts"	"25"	"2000"	"2000"	385	6349097	6.064
	"Massachusetts"	"25"	"2001"	"2001"	426	6397634	6.659
	"Massachusetts"	"25"	"2002"	"2002"	436	6417206	6.794
	"Massachusetts"	"25"	"2003"	"2003"	433	6422565	6.742
	"Massachusetts"	"25"	"2004"	"2004"	423	6412281	6.597
	"Massachusetts"	"25"	"2005"	"2005"	480	6403290	7.496
	"Massachusetts"	"25"	"2006"	"2006"	449	6410084	7.005
	"Massachusetts"	"25"	"2007"	"2007"	516	6431559	8.023
	"Massachusetts"	"25"	"2008"	"2008"	508	6468967	7.853
	"Massachusetts"	"25"	"2009"	"2009"	530	6517613	8.132
	"Massachusetts"	"25"	"2010"	"2010"	597	6547629	9.118
	"Massachusetts"	"25"	"2011"	"2011"	585	6611923	8.848
	"Massachusetts"	"25"	"2012"	"2012"	602	6658008	9.042
	"Massachusetts"	"25"	"2013"	"2013"	570	6706786	8.499
	"Massachusetts"	"25"	"2014"	"2014"	596	6749911	8.830
	"Massachusetts"	"25"	"2015"	"2015"	642	6784240	9.463
	"Massachusetts"	"25"	"2016"	"2016"	630	6811779	9.249
	"Michigan"	"26"	"1999"	"1999"	974	9897116	9.841
	"Michigan"	"26"	"2000"	"2000"	974	9938444	9.800
	"Michigan"	"26"	"2001"	"2001"	1049	9991120	10.499
	"Michigan"	"26"	"2002"	"2002"	1106	10015710	11.043
	"Michigan"	"26"	"2003"	"2003"	1027	10041152	10.228
	"Michigan"	"26"	"2004"	"2004"	1097	10055315	10.910
	"Michigan"	"26"	"2005"	"2005"	1108	10051137	11.024
	"Michigan"	"26"	"2006"	"2006"	1137	10036081	11.329
	"Michigan"	"26"	"2007"	"2007"	1129	10001284	11.289
	"Michigan"	"26"	"2008"	"2008"	1179	9946889	11.853
	"Michigan"	"26"	"2009"	"2009"	1169	9901591	11.806
	"Michigan"	"26"	"2010"	"2010"	1262	9883640	12.769
	"Michigan"	"26"	"2011"	"2011"	1221	9876213	12.363
	"Michigan"	"26"	"2012"	"2012"	1258	9887238	12.723
	"Michigan"	"26"	"2013"	"2013"	1293	9898982	13.062
	"Michigan"	"26"	"2014"	"2014"	1352	9915767	13.635
	"Michigan"	"26"	"2015"	"2015"	1408	9917715	14.197
	"Michigan"	"26"	"2016"	"2016"	1362	9928300	13.718
	"Minnesota"	"27"	"1999"	"1999"	437	4873481	8.967
	"Minnesota"	"27"	"2000"	"2000"	440	4919479	8.944
	"Minnesota"	"27"	"2001"	"2001"	478	4982796	9.593
	"Minnesota"	"27"	"2002"	"2002"	494	5018935	9.843
	"Minnesota"	"27"	"2003"	"2003"	497	5053572	9.835
	"Minnesota"	"27"	"2004"	"2004"	522	5087713	10.260
	"Minnesota"	"27"	"2005"	"2005"	546	5119598	10.665
	"Minnesota"	"27"	"2006"	"2006"	554	5163555	10.729
	"Minnesota"	"27"	"2007"	"2007"	572	5207203	10.985
	"Minnesota"	"27"	"2008"	"2008"	595	5247018	11.340
	"Minnesota"	"27"	"2009"	"2009"	583	5281203	11.039
	"Minnesota"	"27"	"2010"	"2010"	603	5303925	11.369
	"Minnesota"	"27"	"2011"	"2011"	681	5348562	12.732
	"Minnesota"	"27"	"2012"	"2012"	655	5380285	12.174
	"Minnesota"	"27"	"2013"	"2013"	676	5418521	12.476
	"Minnesota"	"27"	"2014"	"2014"	686	5453109	12.580
